Material,train_rows,test_rows
1100000230,18,3
1100000231,18,3
1100000232,18,3
1100000233,18,3
1100000234,17,3
1100000235,18,3
1100000236,18,3
1100000237,18,3
1100000238,18,3
1100000239,17,3
1100000240,18,3
1100000241,18,3
1100000242,18,3
1100000243,18,3
1100000244,18,3
1100000245,18,3
1100000246,18,3
1100000247,18,3
1100000250,18,3
1100000251,18,3
1100000253,18,3
1100000254,18,3
1100000255,18,3
1100000256,5,3
1100000258,18,3
1100000259,18,3
1100000260,18,3
1100000261,6,3
1100000263,18,3
1100000264,15,3
1100000268,18,3
1100000269,18,3
1100000270,18,3
1100000271,18,3
1100000272,17,3
1100000273,18,3
1100000274,18,3
1100000275,18,3
1100000276,18,3
1100000277,18,3
1100000280,18,3
1100000281,18,3
1100000282,9,3
1100000283,1,3
1100000285,18,3
1100000286,18,3
1100000287,18,3
1100000295,1,3
1100000303,1,3
1100000309,18,3
1100000310,10,3
1100000311,18,3
1100000312,18,3
1100000313,18,3
1100000314,18,3
1100000315,18,3
1100000316,18,3
1100000317,18,3
1100000318,17,3
1100000319,18,3
1100000320,18,3
1100000321,18,3
1100000322,18,3
1100000323,18,3
1100000324,15,3
1100000325,14,3
1100000326,18,3
1100000327,18,3
1100000328,18,3
1100000329,18,3
1100000669,12,3
1100000709,13,3
1100000715,14,3
1100000779,6,3
1100000780,14,3
1100000781,14,3
1100000960,7,3
1100000961,7,3
1100000962,7,3
1100000963,7,3
1100000968,7,3
1100000969,4,3
1100001013,1,3
