Material,train_rows,test_rows,reason
1100000257,0,3,no_train_rows_after_reserving_3_for_test
1100000262,0,3,no_train_rows_after_reserving_3_for_test
1100000284,0,1,less_than_3_test_rows
1100000296,0,3,no_train_rows_after_reserving_3_for_test
1100000304,0,3,no_train_rows_after_reserving_3_for_test
1100000793,0,1,less_than_3_test_rows
1100000824,0,1,less_than_3_test_rows
1100001030,0,3,no_train_rows_after_reserving_3_for_test
1100001149,0,1,less_than_3_test_rows
1100001165,0,1,less_than_3_test_rows
1100001168,0,1,less_than_3_test_rows
1100000248,0,0,no_complete_rows_after_feature_build
1100000267,0,0,no_complete_rows_after_feature_build
1100000279,0,0,no_complete_rows_after_feature_build
1100000288,0,0,no_complete_rows_after_feature_build
1100000289,0,0,no_complete_rows_after_feature_build
1100000290,0,0,no_complete_rows_after_feature_build
1100000291,0,0,no_complete_rows_after_feature_build
1100000292,0,0,no_complete_rows_after_feature_build
1100000293,0,0,no_complete_rows_after_feature_build
1100000297,0,0,no_complete_rows_after_feature_build
1100000299,0,0,no_complete_rows_after_feature_build
1100000300,0,0,no_complete_rows_after_feature_build
1100000301,0,0,no_complete_rows_after_feature_build
1100000302,0,0,no_complete_rows_after_feature_build
1100000306,0,0,no_complete_rows_after_feature_build
1100000307,0,0,no_complete_rows_after_feature_build
1100000710,0,0,no_complete_rows_after_feature_build
1100000713,0,0,no_complete_rows_after_feature_build
1100000714,0,0,no_complete_rows_after_feature_build
1100000791,0,0,no_complete_rows_after_feature_build
1100000792,0,0,no_complete_rows_after_feature_build
1100000794,0,0,no_complete_rows_after_feature_build
1100000977,0,0,no_complete_rows_after_feature_build
1100000978,0,0,no_complete_rows_after_feature_build
1100001012,0,0,no_complete_rows_after_feature_build
1100001014,0,0,no_complete_rows_after_feature_build
1100001047,0,0,no_complete_rows_after_feature_build
1100001075,0,0,no_complete_rows_after_feature_build
1100001076,0,0,no_complete_rows_after_feature_build
1100001077,0,0,no_complete_rows_after_feature_build
1100001078,0,0,no_complete_rows_after_feature_build
1100001079,0,0,no_complete_rows_after_feature_build
1100001081,0,0,no_complete_rows_after_feature_build
1100001093,0,0,no_complete_rows_after_feature_build
1100001155,0,0,no_complete_rows_after_feature_build
1100001156,0,0,no_complete_rows_after_feature_build
1100001157,0,0,no_complete_rows_after_feature_build
1100001158,0,0,no_complete_rows_after_feature_build
1100001159,0,0,no_complete_rows_after_feature_build
1100001163,0,0,no_complete_rows_after_feature_build
1100001167,0,0,no_complete_rows_after_feature_build
1100001170,0,0,no_complete_rows_after_feature_build
1100001173,0,0,no_complete_rows_after_feature_build
1100001176,0,0,no_complete_rows_after_feature_build
1100001179,0,0,no_complete_rows_after_feature_build
1100001182,0,0,no_complete_rows_after_feature_build
1100001226,0,0,no_complete_rows_after_feature_build
1100001227,0,0,no_complete_rows_after_feature_build
1100001228,0,0,no_complete_rows_after_feature_build
1100001229,0,0,no_complete_rows_after_feature_build
1100001230,0,0,no_complete_rows_after_feature_build
1100001231,0,0,no_complete_rows_after_feature_build
1100001232,0,0,no_complete_rows_after_feature_build
1100001233,0,0,no_complete_rows_after_feature_build
1100001234,0,0,no_complete_rows_after_feature_build
1100001235,0,0,no_complete_rows_after_feature_build
1100001242,0,0,no_complete_rows_after_feature_build
1100001245,0,0,no_complete_rows_after_feature_build
1100001251,0,0,no_complete_rows_after_feature_build
1100001321,0,0,no_complete_rows_after_feature_build
1100001324,0,0,no_complete_rows_after_feature_build
1100001329,0,0,no_complete_rows_after_feature_build
1100001330,0,0,no_complete_rows_after_feature_build
1100001331,0,0,no_complete_rows_after_feature_build
1100001332,0,0,no_complete_rows_after_feature_build
1100001334,0,0,no_complete_rows_after_feature_build
1100001353,0,0,no_complete_rows_after_feature_build
1100001371,0,0,no_complete_rows_after_feature_build
